corners,notation,alg
DBR-ULF,TC,"[R D' R': [R' D R, U']]"
DBR-LUB,TD,"[D R: [R D' R', U]]"
DBR-LFU,TE,"[z: [D2, R U R']"
DBR-LDF,TF,"[U R: [D, R U' R']]"
DBR-LBD,TG,"[R D' R’: [R’ D R, U]]"
DBR-FUL,TH,"[D R: [R D' R', U2]]"
DBR-FDR,TI,"[U R D': [U', R' D R]]"
DBR-FLD,TJ,"[D R: [R D' R', U’]]"
DBR-RBU,TK,"[F': [U2, R D R']]"
DBR-RFD,TM,"[R: [U, R' D R U' R D' R']]"
DBR-BUR,TN,"[D R U': [R' U R, D']]"
DBR-BLU,TO,"[R', [U' L' U, R2]]"
DBR-BDL,TP,"[U R: [R U' R', D2]]"
DBR-DFL,TR,"R2UD"
DBR-DRF,TS,"[F' R U': [R' D' R, U2]]"
DBR-DLB,TU,"[z: [D2, R U2 R']]"
DLB-UBL,UA,"[R' z R': [R' D R, U2]]"
DLB-URB,UB,"[x: [R' U' R, D2]]"
DLB-ULF,UC,"[R' D' R: [R U' R', D]]"
DLB-LUB,UD,"[R: [R D' R', U]]"
DLB-LFU,UE,"[R2 D2: [R U' R', D]]"
DLB-LDF,UF,"[F' [R U' R', D2]]"
DLB-FUL,UH,"[R: [R D' R', U2]]"
DLB-FDR,UI,"[z: [R U2 R', D]]"
DLB-FLD,UJ,"[z' U': [R U R', D']]"
DLB-RBU,UK,"[U'D R': [R' D R, U2]]"
DLB-RDB,UL,"[R2 D2: [R U R', D]]"
DLB-RFD,UM,"[R: [R D' R', U']]"
DLB-BUR,UN,"[R U': [R' U R, D']]"
DLB-BLU,UO,"[U'D R’: [R’ D R, U']]"
DLB-BRD,UQ,"[R U'D: [R' U R, D2]]"
DLB-DFL,UR,"[x U: [R' D R, U2]]"
DLB-DRF,US,"[R U' R' U: [R D' R', U2]]"
DLB-DBR,UT,"[z: [R U2 R', D2]]"
